\c:1546359816*5F\$GPGLL,3247.221,N,07954.564,W,162335,A,A*5E
\c:1546359817*5E\$GPGLL,3247.1952,N,07954.5940,W,162337.000,A,A*43
\c:1546359818*51\$GPGLL,3247.1952,N,07954.5939,W,162338.000,A,A*42
\c:1546359818*51\$GPGLL,3247.221,N,07954.564,W,162337,A,A*5C
\c:1546359819*50\$GPGLL,3247.1951,N,07954.5939,W,162339.000,A,A*40
\c:1546359820*5A\$GPGLL,3247.1951,N,07954.5939,W,162340.000,A,A*4E
\c:1546359820*5A\$GPGLL,3247.221,N,07954.564,W,162339,A,A*52
\c:1546359821*5B\$GPGLL,3247.1951,N,07954.5939,W,162341.000,A,A*4F
\c:1546359822*58\$GPGLL,3247.1951,N,07954.5940,W,162342.000,A,A*42
\c:1546359822*58\$GPGLL,3247.221,N,07954.564,W,162341,A,A*5D
\c:1546359823*59\$GPGLL,3247.1950,N,07954.5940,W,162343.000,A,A*42
\c:1546359824*5E\$GPGLL,3247.1950,N,07954.5940,W,162344.000,A,A*45
\c:1546359824*5E\$GPGLL,3247.221,N,07954.564,W,162343,A,A*5F
\c:1546359825*5F\$GPGLL,3247.1950,N,07954.5941,W,162345.000,A,A*45
\c:1546359826*5C\$GPGLL,3247.1950,N,07954.5941,W,162346.000,A,A*46
\c:1546359826*5C\$GPGLL,3247.221,N,07954.564,W,162345,A,A*59
\c:1546359827*5D\$GPGLL,3247.1949,N,07954.5941,W,162347.000,A,A*4F
\c:1546359828*52\$GPGLL,3247.1949,N,07954.5940,W,162348.000,A,A*41
\c:1546359828*52\$GPGLL,3247.221,N,07954.564,W,162347,A,A*5B
\c:1546359829*53\$GPGLL,3247.1949,N,07954.5939,W,162349.000,A,A*4E
\c:1546359830*5B\$GPGLL,3247.1948,N,07954.5939,W,162350.000,A,A*47
\c:1546359830*5B\$GPGLL,3247.221,N,07954.564,W,162349,A,A*55
\c:1546359831*5A\$GPGLL,3247.1948,N,07954.5938,W,162351.000,A,A*47
\c:1546359832*59\$GPGLL,3247.1948,N,07954.5938,W,162352.000,A,A*44
\c:1546359832*59\$GPGLL,3247.221,N,07954.564,W,162351,A,A*5C
\c:1546359833*58\$GPGLL,3247.1948,N,07954.5938,W,162353.000,A,A*45
\c:1546359834*5F\$GPGLL,3247.1948,N,07954.5937,W,162354.000,A,A*4D
\c:1546359834*5F\$GPGLL,3247.221,N,07954.564,W,162353,A,A*5E
\c:1546359835*5E\$GPGLL,3247.1948,N,07954.5937,W,162355.000,A,A*4C
\c:1546359836*5D\$GPGLL,3247.1948,N,07954.5936,W,162356.000,A,A*4E
\c:1546359836*5D\$GPGLL,3247.221,N,07954.564,W,162355,A,A*58
\c:1546359837*5C\$GPGLL,3247.1948,N,07954.5936,W,162357.000,A,A*4F
\c:1546359838*53\$GPGLL,3247.1948,N,07954.5935,W,162358.000,A,A*43
\c:1546359839*52\$GPGLL,3247.221,N,07954.563,W,162357,A,A*5D
\c:1546359839*52\$GPGLL,3247.1948,N,07954.5935,W,162359.000,A,A*42
