\c:1544920458*5F\$GPGLL,3247.2158,N,07954.5640,W,163521.000,A,D*48	\c:1544920776*50\$IIVWT,111,R,13.31,N,06.85,M,,*3E
\c:1544920458*5F\$GPGLL,3247.223,N,07954.563,W,163519,A,A*52	\c:1544920778*5E\$IIVWT,112,R,13.91,N,07.16,M,,*3C
\c:1544920459*5E\$GPGLL,3247.2158,N,07954.5640,W,163522.000,A,D*4B	\c:1544920780*59\$IIVWT,118,R,14.26,N,07.34,M,,*3D
\c:1544920460*54\$GPGLL,3247.2158,N,07954.5640,W,163523.000,A,D*4A	\c:1544920782*5B\$IIVWT,112,R,13.45,N,06.92,M,,*38
\c:1544920460*54\$GPGLL,3247.223,N,07954.563,W,163522,A,A*5A	\c:1544920784*5D\$IIVWT,113,R,13.12,N,06.75,M,,*32
\c:1544920461*55\$GPGLL,3247.2158,N,07954.5640,W,163524.000,A,D*4D	\c:1544920786*5F\$IIVWT,112,R,12.69,N,06.53,M,,*3A
\c:1544920462*56\$GPGLL,3247.2157,N,07954.5640,W,163525.000,A,D*43	\c:1544920788*51\$IIVWT,111,R,12.57,N,06.47,M,,*31
\c:1544920462*56\$GPGLL,3247.223,N,07954.563,W,163524,A,A*5C	\c:1544920790*58\$IIVWT,121,R,12.30,N,06.33,M,,*30
\c:1544920463*57\$GPGLL,3247.2157,N,07954.5640,W,163526.000,A,D*40	\c:1544920792*5A\$IIVWT,111,R,11.79,N,06.07,M,,*3A
\c:1544920464*50\$GPGLL,3247.2157,N,07954.5640,W,163527.000,A,D*41	\c:1544920794*5C\$IIVWT,109,R,11.70,N,06.02,M,,*3F
\c:1544920464*50\$GPGLL,3247.223,N,07954.563,W,163526,A,A*5E	\c:1544920796*5E\$IIVWT,108,R,11.89,N,06.12,M,,*39
\c:1544920465*51\$GPGLL,3247.2157,N,07954.5640,W,163528.000,A,D*4E	\c:1544920798*50\$IIVWT,115,R,11.37,N,05.85,M,,*3D
\c:1544920466*52\$GPGLL,3247.2157,N,07954.5640,W,163529.000,A,D*4F	\c:1544920800*5E\$IIVWT,115,R,11.37,N,05.85,M,,*3D
\c:1544920466*52\$GPGLL,3247.223,N,07954.563,W,163528,A,A*50	\c:1544920802*5C\$IIVWT,119,R,11.29,N,05.81,M,,*3A
\c:1544920467*53\$GPGLL,3247.2157,N,07954.5640,W,163530.000,A,D*47	\c:1544920804*5A\$IIVWT,117,R,11.35,N,05.84,M,,*3C
\c:1544920561*54\$GPGLL,3247.2159,N,07954.5640,W,163704.000,A,D*4C	\c:1544920806*58\$IIVWT,121,R,11.64,N,05.99,M,,*31
\c:1544920562*57\$GPGLL,3247.2159,N,07954.5640,W,163705.000,A,D*4D	\c:1544920809*57\$IIVWT,121,R,11.37,N,05.85,M,,*3A
\c:1544920563*56\$GPGLL,3247.2159,N,07954.5640,W,163706.000,A,D*4E	\c:1544920810*5F\$IIVWT,117,R,11.52,N,05.93,M,,*3B
\c:1544920564*51\$GPGLL,3247.2159,N,07954.5640,W,163707.000,A,D*4F	\c:1544920812*5D\$IIVWT,108,R,11.46,N,05.90,M,,*33
\c:1544920565*50\$GPGLL,3247.2159,N,07954.5640,W,163708.000,A,D*40	\c:1544920815*5A\$IIVWT,111,R,13.02,N,06.70,M,,*34
\c:1544920566*53\$GPGLL,3247.2159,N,07954.5640,W,163709.000,A,D*41	\c:1544920817*58\$IIVWT,110,R,13.23,N,06.81,M,,*38
\c:1544920567*52\$GPGLL,3247.2159,N,07954.5640,W,163710.000,A,D*49	\c:1544920819*56\$IIVWT,107,R,12.94,N,06.66,M,,*3A
\c:1544920568*5D\$GPGLL,3247.2159,N,07954.5640,W,163711.000,A,D*48	\c:1544920821*5D\$IIVWT,116,R,13.45,N,06.92,M,,*3C
\c:1544920569*5C\$GPGLL,3247.2159,N,07954.5640,W,163712.000,A,D*4B	\c:1544920823*5F\$IIVWT,122,R,11.44,N,05.89,M,,*31
\c:1544920570*54\$GPGLL,3247.2159,N,07954.5640,W,163713.000,A,D*4A	\c:1544920825*59\$IIVWT,124,R,10.94,N,05.63,M,,*3F
\c:1544920571*55\$GPGLL,3247.2159,N,07954.5640,W,163714.000,A,D*4D	\c:1544920827*5B\$IIVWT,124,R,10.01,N,05.15,M,,*32
\c:1544920572*56\$GPGLL,3247.2159,N,07954.5640,W,163715.000,A,D*4C	\c:1544920829*55\$IIVWT,126,R,11.79,N,06.07,M,,*3E
\c:1544920573*57\$GPGLL,3247.2159,N,07954.5640,W,163716.000,A,D*4F	\c:1544920831*5C\$IIVWT,124,R,12.71,N,06.54,M,,*31
\c:1544920574*50\$GPGLL,3247.2159,N,07954.5640,W,163717.000,A,D*4E	\c:1544920833*5E\$IIVWT,123,R,13.12,N,06.75,M,,*31
\c:1544920575*51\$GPGLL,3247.2159,N,07954.5640,W,163718.000,A,D*41	\c:1544920835*58\$IIVWT,120,R,12.77,N,06.57,M,,*30
\c:1544920576*52\$GPGLL,3247.2159,N,07954.5640,W,163719.000,A,D*40	\c:1544920837*5A\$IIVWT,126,R,13.35,N,06.87,M,,*3C
\c:1544920577*53\$GPGLL,3247.2159,N,07954.5640,W,163720.000,A,D*4A	\c:1544920839*54\$IIVWT,126,R,13.17,N,06.78,M,,*3C
\c:1544920578*5C\$GPGLL,3247.2159,N,07954.5640,W,163721.000,A,D*4B	\c:1544920841*5B\$IIVWT,126,R,12.18,N,06.27,M,,*38
\c:1544920579*5D\$GPGLL,3247.2159,N,07954.5640,W,163722.000,A,D*48	\c:1544920843*59\$IIVWT,126,R,12.32,N,06.34,M,,*32
\c:1544920580*5B\$GPGLL,3247.2159,N,07954.5640,W,163723.000,A,D*49	\c:1544920845*5F\$IIVWT,125,R,11.89,N,06.12,M,,*36
\c:1544920581*5A\$GPGLL,3247.2159,N,07954.5640,W,163724.000,A,D*4E	\c:1544920847*5D\$IIVWT,128,R,11.85,N,06.10,M,,*35
\c:1544920582*59\$GPGLL,3247.2159,N,07954.5640,W,163725.000,A,D*4F	\c:1544920849*53\$IIVWT,125,R,11.11,N,05.72,M,,*32
\c:1544920583*58\$GPGLL,3247.2159,N,07954.5640,W,163726.000,A,D*4C	\c:1544920851*5A\$IIVWT,126,R,10.92,N,05.62,M,,*3A
\c:1544920584*5F\$GPGLL,3247.2159,N,07954.5640,W,163727.000,A,D*4D	\c:1544920853*58\$IIVWT,125,R,11.23,N,05.78,M,,*39
\c:1544920585*5E\$GPGLL,3247.2159,N,07954.5640,W,163728.000,A,D*42	\c:1544920855*5E\$IIVWT,120,R,10.61,N,05.46,M,,*36
\c:1544920586*5D\$GPGLL,3247.2159,N,07954.5640,W,163729.000,A,D*43	\c:1544920859*52\$IIVWT,115,R,10.82,N,05.57,M,,*3D
