\c:1552136639*52\$GPGLL,3247.2159,N,07954.5639,W,130428.000,A,A*4C	\c:1552136671*5E\$IIVWT,052,L,02.76,N,01.42,M,,*29
\c:1552136639*52\$GPGLL,3247.222,N,07954.564,W,130427,A,A*5E	\c:1552136673*5C\$IIVWT,044,L,02.48,N,01.28,M,,*2F
\c:1552136640*5C\$GPGLL,3247.2159,N,07954.5639,W,130429.000,A,A*4D	\c:1552136676*59\$IIVWT,046,L,02.39,N,01.23,M,,*20
\c:1552136641*5D\$GPGLL,3247.2159,N,07954.5639,W,130430.000,A,A*45	\c:1552136678*57\$IIVWT,047,L,02.39,N,01.23,M,,*21
\c:1552136642*5E\$GPGLL,3247.222,N,07954.564,W,130429,A,A*50	\c:1552136680*50\$IIVWT,044,L,02.56,N,01.32,M,,*2B
\c:1552136642*5E\$GPGLL,3247.2159,N,07954.5639,W,130431.000,A,A*44	\c:1552136682*52\$IIVWT,042,L,02.62,N,01.35,M,,*2D
\c:1552136643*5F\$GPGLL,3247.2159,N,07954.5639,W,130432.000,A,A*47	\c:1552136684*54\$IIVWT,030,L,02.77,N,01.43,M,,*2D
\c:1552136644*58\$GPGLL,3247.222,N,07954.564,W,130431,A,A*59	\c:1552136686*56\$IIVWT,032,L,02.64,N,01.36,M,,*2F
\c:1552136644*58\$GPGLL,3247.2159,N,07954.5639,W,130433.000,A,A*46	\c:1552136688*58\$IIVWT,043,L,02.54,N,01.31,M,,*2D
\c:1552136645*59\$GPGLL,3247.2158,N,07954.5639,W,130434.000,A,A*40	\c:1552136690*51\$IIVWT,052,L,02.54,N,01.31,M,,*2D
\c:1552136646*5A\$GPGLL,3247.222,N,07954.564,W,130433,A,A*5B	\c:1552136692*53\$IIVWT,052,L,02.46,N,01.27,M,,*29
\c:1552136646*5A\$GPGLL,3247.2158,N,07954.5638,W,130435.000,A,A*40	\c:1552136695*54\$IIVWT,046,L,02.62,N,01.35,M,,*29
\c:1552136647*5B\$GPGLL,3247.2158,N,07954.5638,W,130436.000,A,A*43	\c:1552136696*57\$IIVWT,035,L,02.64,N,01.36,M,,*28
\c:1552136648*54\$GPGLL,3247.222,N,07954.564,W,130435,A,A*5D	\c:1552136698*59\$IIVWT,041,L,02.83,N,01.46,M,,*25
\c:1552136648*54\$GPGLL,3247.2158,N,07954.5638,W,130437.000,A,A*42	\c:1552136700*59\$IIVWT,034,L,02.83,N,01.46,M,,*27
\c:1552136649*55\$GPGLL,3247.2157,N,07954.5638,W,130438.000,A,A*42	\c:1552136702*5B\$IIVWT,034,L,02.99,N,01.54,M,,*2F
\c:1552136650*5D\$GPGLL,3247.222,N,07954.564,W,130437,A,A*5F	\c:1552136704*5D\$IIVWT,030,L,02.95,N,01.52,M,,*21
\c:1552136650*5D\$GPGLL,3247.2157,N,07954.5638,W,130439.000,A,A*43	\c:1552136706*5F\$IIVWT,043,L,02.77,N,01.43,M,,*29
\c:1552136651*5C\$GPGLL,3247.2157,N,07954.5639,W,130440.000,A,A*4C	\c:1552136708*51\$IIVWT,018,L,02.62,N,01.35,M,,*22
\c:1552136652*5F\$GPGLL,3247.222,N,07954.564,W,130439,A,A*51	\c:1552136710*58\$IIVWT,051,L,02.48,N,01.28,M,,*2B
\c:1552136652*5F\$GPGLL,3247.2157,N,07954.5639,W,130441.000,A,A*4D	\c:1552136712*5A\$IIVWT,042,L,02.42,N,01.25,M,,*2E
\c:1552136653*5E\$GPGLL,3247.2157,N,07954.5639,W,130442.000,A,A*4E	\c:1552136714*5C\$IIVWT,040,L,02.27,N,01.17,M,,*2E
\c:1552136654*59\$GPGLL,3247.222,N,07954.564,W,130441,A,A*5E	\c:1552136716*5E\$IIVWT,008,L,02.15,N,01.11,M,,*25
\c:1552136654*59\$GPGLL,3247.2156,N,07954.5638,W,130443.000,A,A*4F	\c:1552136719*51\$IIVWT,016,L,02.15,N,01.11,M,,*2A
\c:1552136655*58\$GPGLL,3247.2155,N,07954.5639,W,130444.000,A,A*4A	\c:1552136721*5A\$IIVWT,039,L,02.15,N,01.11,M,,*27
\c:1552136656*5B\$GPGLL,3247.222,N,07954.564,W,130443,A,A*5C	\c:1552136723*58\$IIVWT,046,L,02.17,N,01.12,M,,*2E
\c:1552136656*5B\$GPGLL,3247.2155,N,07954.5640,W,130445.000,A,A*45	\c:1552136725*5E\$IIVWT,045,L,01.98,N,01.02,M,,*28
\c:1552136657*5A\$GPGLL,3247.2155,N,07954.5642,W,130446.000,A,A*44	\c:1552136727*5C\$IIVWT,036,L,02.06,N,01.06,M,,*2C
\c:1552136658*55\$GPGLL,3247.222,N,07954.564,W,130445,A,A*5A	\c:1552136729*52\$IIVWT,016,L,02.29,N,01.18,M,,*2C
\c:1552136658*55\$GPGLL,3247.2155,N,07954.5642,W,130447.000,A,A*45	\c:1552136731*5B\$IIVWT,039,L,02.31,N,01.19,M,,*29
\c:1552136659*54\$GPGLL,3247.2155,N,07954.5642,W,130448.000,A,A*4A	\c:1552136733*59\$IIVWT,041,L,02.15,N,01.11,M,,*28
\c:1552136660*5E\$GPGLL,3247.222,N,07954.564,W,130447,A,A*58	\c:1552136735*5F\$IIVWT,032,L,02.21,N,01.14,M,,*2E
\c:1552136660*5E\$GPGLL,3247.2155,N,07954.5642,W,130449.000,A,A*4B	\c:1552136737*5D\$IIVWT,045,L,02.21,N,01.14,M,,*2E
\c:1552136661*5F\$GPGLL,3247.2155,N,07954.5642,W,130450.000,A,A*43	\c:1552136739*53\$IIVWT,046,L,02.21,N,01.14,M,,*2D
\c:1552136662*5C\$GPGLL,3247.222,N,07954.564,W,130449,A,A*56	\c:1552136741*5C\$IIVWT,034,L,02.42,N,01.25,M,,*2F
\c:1552136662*5C\$GPGLL,3247.2155,N,07954.5642,W,130451.000,A,A*42	\c:1552136743*5E\$IIVWT,039,L,02.25,N,01.16,M,,*23
\c:1552136663*5D\$GPGLL,3247.2155,N,07954.5642,W,130452.000,A,A*41	\c:1552136745*58\$IIVWT,023,L,02.21,N,01.14,M,,*2E
